"Year","Tms","N.Bat","BatAge","Avg_PA","Avg_AB","Avg_H"
1871,9,115,23.9,38.442,34.5976428571429,9.12192857142857
1872,11,143,23.5,38.442,34.5976428571429,9.12192857142857
1873,9,122,24.2,38.442,34.5976428571429,9.12192857142857
1874,8,120,24.8,38.442,34.5976428571429,9.12192857142857
1875,13,190,24.6,38.442,34.5976428571429,9.12192857142857
1876,8,121,25.4,38.442,34.5976428571429,9.12192857142857
1877,6,92,25.9,38.442,34.5976428571429,9.12192857142857
1878,6,77,24.7,38.442,34.5976428571429,9.12192857142857
1879,8,119,24.6,38.442,34.5976428571429,9.12192857142857
1880,8,127,24.8,38.442,34.5976428571429,9.12192857142857
1881,8,120,25.7,38.442,34.5976428571429,9.12192857142857
1882,14,229,25.5,38.442,34.5976428571429,9.12192857142857
1883,16,258,26.4,38.442,34.5976428571429,9.12192857142857
1884,33,638,25.2,38.442,34.5976428571429,9.12192857142857
1885,16,321,26.6,38.442,34.5976428571429,9.12192857142857
1886,16,326,26.7,38.442,34.5976428571429,9.12192857142857
1887,16,316,26.7,38.442,34.5976428571429,9.12192857142857
1888,16,331,26.7,38.442,34.5976428571429,9.12192857142857
1889,16,322,26.8,38.442,34.5976428571429,9.12192857142857
1890,25,510,27,38.442,34.5976428571429,9.12192857142857
1891,17,360,27.2,38.442,34.5976428571429,9.12192857142857
1892,12,265,27.4,38.442,34.5976428571429,9.12192857142857
1893,12,260,27.8,38.442,34.5976428571429,9.12192857142857
1894,12,264,27.7,38.442,34.5976428571429,9.12192857142857
1895,12,284,27.9,38.442,34.5976428571429,9.12192857142857
1896,12,272,28,38.442,34.5976428571429,9.12192857142857
1897,12,263,28,38.442,34.5976428571429,9.12192857142857
1898,12,299,28,38.442,34.5976428571429,9.12192857142857
1899,12,310,27.9,38.442,34.5976428571429,9.12192857142857
1900,8,188,28.5,38.442,34.5976428571429,9.12192857142857
1901,16,371,28.1,38.442,34.5976428571429,9.12192857142857
1902,16,390,28.3,38.442,34.5976428571429,9.12192857142857
1903,16,368,28.4,38.442,34.5976428571429,9.12192857142857
1904,16,364,28.4,38.442,34.5976428571429,9.12192857142857
1905,16,390,28.6,38.442,34.5976428571429,9.12192857142857
1906,16,412,28.5,38.442,34.5976428571429,9.12192857142857
1907,16,418,28.6,38.442,34.5976428571429,9.12192857142857
1908,16,440,28.5,38.442,34.5976428571429,9.12192857142857
1909,16,504,27.5,38.442,34.5976428571429,9.12192857142857
1910,16,508,27.2,38.442,34.5976428571429,9.12192857142857
1911,16,536,27.1,38.442,34.5976428571429,9.12192857142857
1912,16,604,26.8,38.442,34.5976428571429,9.12192857142857
1913,16,582,26.8,38.442,34.5976428571429,9.12192857142857
1914,24,740,27.2,38.442,34.5976428571429,9.12192857142857
1915,24,733,27.3,38.442,34.5976428571429,9.12192857142857
1916,16,527,27.3,38.442,34.5976428571429,9.12192857142857
1917,16,490,27.3,38.442,34.5976428571429,9.12192857142857
1918,16,489,28.1,38.442,34.5976428571429,9.12192857142857
1919,16,479,28.1,38.442,34.5976428571429,9.12192857142857
1920,16,495,28.1,38.442,34.5976428571429,9.12192857142857
1921,16,492,28.1,38.442,34.5976428571429,9.12192857142857
1922,16,497,28.5,38.442,34.5976428571429,9.12192857142857
1923,16,513,28.3,38.442,34.5976428571429,9.12192857142857
1924,16,529,28.5,38.442,34.5976428571429,9.12192857142857
1925,16,526,28.6,38.442,34.5976428571429,9.12192857142857
1926,16,502,28.6,38.442,34.5976428571429,9.12192857142857
1927,16,512,28.8,38.442,34.5976428571429,9.12192857142857
1928,16,505,28.4,38.442,34.5976428571429,9.12192857142857
1929,16,510,28.3,38.442,34.5976428571429,9.12192857142857
1930,16,493,28.2,38.442,34.5976428571429,9.12192857142857
1931,16,492,28.4,38.442,34.5976428571429,9.12192857142857
1932,16,491,28.5,38.442,34.5976428571429,9.12192857142857
1933,16,460,28.6,38.442,34.5976428571429,9.12192857142857
1934,16,487,28.5,38.442,34.5976428571429,9.12192857142857
1935,16,484,28.2,38.442,34.5976428571429,9.12192857142857
1936,16,481,28.3,38.442,34.5976428571429,9.12192857142857
1937,16,498,28.3,38.442,34.5976428571429,9.12192857142857
1938,16,502,28.4,38.442,34.5976428571429,9.12192857142857
1939,16,533,28.1,38.442,34.5976428571429,9.12192857142857
1940,16,514,27.9,38.442,34.5976428571429,9.12192857142857
1941,16,546,27.9,38.442,34.5976428571429,9.12192857142857
1942,16,512,27.9,38.442,34.5976428571429,9.12192857142857
1943,16,519,28.6,38.442,34.5976428571429,9.12192857142857
1944,16,548,29.3,38.442,34.5976428571429,9.12192857142857
1945,16,547,29.7,38.442,34.5976428571429,9.12192857142857
1946,16,633,29.2,38.442,34.5976428571429,9.12192857142857
1947,16,544,29,38.442,34.5976428571429,9.12192857142857
1948,16,542,28.5,38.442,34.5976428571429,9.12192857142857
1949,16,532,28.5,38.442,34.5976428571429,9.12192857142857
1950,16,530,28.3,38.442,34.5976428571429,9.12192857142857
1951,16,543,28.7,38.442,34.5976428571429,9.12192857142857
1952,16,556,28.5,38.442,34.5976428571429,9.12192857142857
1953,16,534,28.4,38.442,34.5976428571429,9.12192857142857
1954,16,536,28.1,38.442,34.5976428571429,9.12192857142857
1955,16,599,28.3,38.442,34.5976428571429,9.12192857142857
1956,16,552,28.3,38.442,34.5976428571429,9.12192857142857
1957,16,563,28.5,38.442,34.5976428571429,9.12192857142857
1958,16,580,28.4,38.442,34.5976428571429,9.12192857142857
1959,16,571,28.5,38.442,34.5976428571429,9.12192857142857
1960,16,575,28.2,38.442,34.5976428571429,9.12192857142857
1961,18,620,28,38.442,34.5976428571429,9.12192857142857
1962,20,702,27.9,38.442,34.5976428571429,9.12192857142857
1963,20,695,27.6,38.442,34.5976428571429,9.12192857142857
1964,20,700,27.4,38.442,34.5976428571429,9.12192857142857
1965,20,702,27.3,38.442,34.5976428571429,9.12192857142857
1966,20,714,27.3,38.442,34.5976428571429,9.12192857142857
1967,20,718,27.3,38.442,34.5976428571429,9.12192857142857
1968,20,676,27.6,38.442,34.5976428571429,9.12192857142857
1969,24,849,27.4,38.442,34.5976428571429,9.12192857142857
1970,24,849,27.6,38.442,34.5976428571429,9.12192857142857
1971,24,828,27.6,38.442,34.5976428571429,9.12192857142857
1972,24,824,27.5,38.442,34.5976428571429,9.12192857142857
1973,24,710,27.6,38.442,34.5976428571429,9.12192857142857
1974,24,741,27.4,38.442,34.5976428571429,9.12192857142857
1975,24,725,27.3,38.442,34.5976428571429,9.12192857142857
1976,24,706,27.6,38.442,34.5976428571429,9.12192857142857
1977,26,738,27.4,38.442,34.5976428571429,9.12192857142857
1978,26,741,27.7,38.442,34.5976428571429,9.12192857142857
1979,26,721,28,38.442,34.5976428571429,9.12192857142857
1980,26,760,28.2,38.442,34.5976428571429,9.12192857142857
1981,26,729,28.6,38.442,34.5976428571429,9.12192857142857
1982,26,743,28.7,38.442,34.5976428571429,9.12192857142857
1983,26,782,28.7,38.442,34.5976428571429,9.12192857142857
1984,26,762,28.6,38.442,34.5976428571429,9.12192857142857
1985,26,750,28.8,38.442,34.5976428571429,9.12192857142857
1986,26,771,28.7,38.442,34.5976428571429,9.12192857142857
1987,26,796,28.3,38.442,34.5976428571429,9.12192857142857
1988,26,769,28.3,38.442,34.5976428571429,9.12192857142857
1989,26,797,28.5,38.442,34.5976428571429,9.12192857142857
1990,26,809,28.4,38.442,34.5976428571429,9.12192857142857
1991,26,816,28.4,38.442,34.5976428571429,9.12192857142857
1992,26,806,28.4,38.442,34.5976428571429,9.12192857142857
1993,28,900,28.4,38.442,34.5976428571429,9.12192857142857
1994,28,782,28.7,38.442,34.5976428571429,9.12192857142857
1995,28,901,28.6,38.442,34.5976428571429,9.12192857142857
1996,28,905,28.8,38.442,34.5976428571429,9.12192857142857
1997,28,1051,28.9,38.442,34.5976428571429,9.12192857142857
1998,30,1097,28.9,38.442,34.5976428571429,9.12192857142857
1999,30,1116,28.9,38.442,34.5976428571429,9.12192857142857
2000,30,1132,29.1,38.442,34.5976428571429,9.12192857142857
2001,30,1137,29.1,38.442,34.5976428571429,9.12192857142857
2002,30,1101,29.2,38.442,34.5976428571429,9.12192857142857
2003,30,1134,29.2,38.442,34.5976428571429,9.12192857142857
2004,30,1136,29.3,38.442,34.5976428571429,9.12192857142857
2005,30,1141,29.2,38.442,34.5976428571429,9.12192857142857
2006,30,1134,29.2,38.442,34.5976428571429,9.12192857142857
2007,30,1173,29.1,38.442,34.5976428571429,9.12192857142857
2008,30,1188,28.8,38.442,34.5976428571429,9.12192857142857
2009,30,1156,28.8,38.442,34.5976428571429,9.12192857142857
2010,30,1008,29.2,38.442,34.5976428571429,9.12192857142857
